Given example
40 28
26 35
10 6
4 12
36 39
19 5
25 3
17 29
30 31
24 21
16 20

jin random 11
vfile
64
63 1
0 2
23 2
49 2
34 2
21 0
41 0
43 2
48 1
52 0
20 1
18 1
5 1
3 0
26 2
10 1
9 1
42 1
39 1
8 2
25 0
1 1
24 1
57 1
56 2
16 2
45 2
37 1
40 0
29 2
30 2
4 2
28 1
2 1
35 2
51 1
62 0
13 2
50 1
54 2
55 1
19 1
36 0
46 0
33 1
15 1
58 2
31 0
32 0
12 1
14 1
44 0
27 0
59 0
53 0
11 1
38 0
47 0
6 1
17 2
22 1
7 0
60 2
61 2

efile
63
48 43
48 52
8 39
9 42
0 63
36 46
50 54
54 55
41 21
33 15
52 20
25 1
49 23
40 37
17 6
29 30
4 28
50 13
38 47
6 47
40 29
58 15
8 25
19 36
11 38
3 5
24 1
2 28
18 20
26 3
32 12
51 35
59 27
56 57
60 7
58 31
42 39
2 35
24 57
18 5
16 45
17 22
60 61
56 16
11 53
26 10
32 31
4 30
9 10
12 14
37 45
51 62
0 23
27 44
13 62
49 34
44 14
19 55
59 53
22 7
34 21
41 43
33 46

jin random 12
vfile
16
9 2
2 0
10 2
7 1
6 2
5 1
11 1
3 0
0 0
12 2
8 0
14 0
15 1
13 2
4 0
1 1

efile
15
11 5
1 4
2 10
13 15
10 7
0 3
8 14
6 7
4 13
0 12
5 6
14 15
3 11
8 12
9 2

jin random 13
vfile
69
60 1
14 0
44 0
23 0
40 2
39 0
55 2
58 2
32 1
20 2
65 1
19 2
50 1
61 2
51 0
21 2
15 0
3 1
27 0
47 1
28 1
67 2
68 2
1 1
26 1
17 0
8 1
18 1
52 1
29 0
63 0
4 0
66 0
56 1
57 0
41 1
9 2
38 1
46 1
6 1
13 0
10 0
45 0
35 2
33 2
42 0
11 2
37 1
64 0
48 1
30 2
59 2
54 2
2 0
62 0
12 1
16 2
53 2
34 2
25 1
5 0
0 2
24 0
49 0
43 1
31 0
7 0
22 0
36 1

efile
68
7 31
36 22
24 49
18 52
10 13
0 5
13 6
67 68
35 45
17 26
2 62
2 54
16 53
42 11
46 38
50 61
46 6
55 39
52 29
16 12
65 20
43 31
8 18
32 20
58 55
22 7
66 4
65 19
4 63
41 9
33 35
12 62
64 48
25 34
1 68
49 43
57 41
27 3
56 66
56 57
34 53
67 28
25 5
27 47
51 61
40 39
33 42
1 26
51 21
60 14
50 19
32 58
3 15
8 17
0 24
59 30
64 37
40 23
44 14
21 15
48 30
28 47
44 23
59 54
10 45
11 37
29 63
9 38

jin random 14
vfile
11
8 1
6 0
0 2
10 1
7 1
4 0
5 2
3 2
9 1
1 1
2 2

efile
10
9 1
0 6
9 3
10 7
0 10
4 5
1 2
8 6
3 5
4 7

jin random 15
vfile
88
1 0
64 0
49 0
81 1
47 2
51 2
15 0
0 2
36 0
85 0
41 2
29 1
74 2
62 1
68 2
75 1
54 0
76 0
50 0
66 1
38 2
3 0
86 2
70 2
10 1
4 2
22 2
37 1
63 0
80 0
12 0
40 0
67 1
78 1
82 1
55 1
9 2
16 1
60 2
11 0
77 0
58 2
45 1
52 1
84 2
17 2
18 0
5 2
8 2
42 2
32 1
48 0
44 2
83 1
71 2
21 1
26 2
34 0
35 1
65 1
56 1
27 0
33 1
79 2
46 0
23 2
61 0
73 0
53 1
25 0
13 1
20 1
72 0
59 0
14 2
30 2
39 0
24 2
57 1
87 0
43 1
69 1
7 1
31 0
6 0
28 2
19 2
2 0

efile
87
67 78
31 7
37 63
40 12
40 67
56 27
16 60
43 87
83 71
73 53
24 39
81 49
33 79
32 42
81 47
26 34
64 49
2 19
17 18
56 65
18 5
37 22
46 79
11 77
52 84
14 30
52 45
41 29
26 21
10 4
72 59
25 13
80 63
82 78
74 62
68 62
72 20
6 31
36 85
17 84
11 60
61 23
8 5
21 71
66 38
51 15
75 68
51 47
58 77
83 44
58 45
46 23
20 13
64 1
75 54
34 35
43 69
3 38
25 53
19 28
65 35
74 29
32 48
57 87
82 55
16 9
9 55
80 12
48 44
24 57
41 85
59 14
28 6
4 22
0 15
33 27
69 7
50 76
8 42
0 36
73 61
70 86
10 70
30 39
76 54
50 66
3 86

jin random 16
vfile
94
59 0
53 2
75 0
3 2
55 2
56 2
45 1
82 1
85 0
86 2
62 1
74 0
70 1
11 2
51 2
65 0
93 0
14 2
23 0
21 1
2 2
77 2
19 0
76 2
35 1
5 0
63 1
26 1
29 0
72 0
61 0
10 2
52 2
64 1
79 0
34 2
13 2
37 2
83 1
49 0
36 0
12 1
39 2
42 1
16 2
32 0
25 2
28 0
57 1
89 2
8 0
1 0
18 2
27 1
48 2
58 1
47 1
90 2
20 1
0 1
66 0
31 2
41 0
7 1
43 1
15 2
38 1
33 1
92 1
4 1
71 2
30 0
17 1
88 1
40 0
60 0
80 1
69 0
44 0
50 0
67 0
87 2
22 0
54 1
73 1
6 1
9 1
46 2
68 0
78 1
24 2
84 2
91 0
81 2

efile
93
22 87
34 13
82 85
43 15
9 46
3 55
80 69
4 71
51 11
75 53
2 21
48 27
41 31
10 61
33 38
0 66
12 39
72 61
64 79
50 44
74 70
25 28
65 51
21 23
85 86
19 77
74 62
58 47
19 76
32 25
92 4
43 7
67 87
0 20
73 6
56 55
68 78
89 57
36 12
34 79
64 52
16 32
33 92
35 5
80 60
90 20
14 23
82 45
18 27
91 84
26 63
3 75
35 76
26 29
49 36
1 18
44 69
83 37
59 53
49 83
50 67
37 13
30 71
68 46
11 70
24 84
16 42
5 63
41 7
40 60
90 47
9 6
56 45
88 40
81 91
8 1
24 78
62 86
10 52
93 14
2 77
48 58
42 39
38 15
54 22
66 31
72 29
57 28
8 89
88 17
73 54
65 93
17 30

jin random 17
vfile
62
15 1
19 2
56 1
25 0
35 2
12 0
11 1
17 1
18 0
40 0
30 0
26 2
16 0
44 2
49 0
7 2
55 0
10 1
13 0
20 0
61 0
28 2
3 0
60 1
32 1
59 2
46 1
42 1
41 0
52 1
43 2
22 0
37 2
57 1
48 0
2 0
4 2
14 0
50 1
36 2
1 0
27 2
23 0
53 0
45 0
5 0
34 0
51 0
29 1
6 0
31 0
0 0
47 2
54 0
24 0
39 2
33 0
58 2
21 0
9 2
38 0
8 1

efile
61
41 52
24 54
11 12
10 55
10 13
58 21
41 42
54 47
3 60
27 23
6 31
1 36
29 6
9 21
0 47
16 26
1 27
53 23
56 25
16 44
24 39
57 37
59 46
32 59
42 46
2 4
25 35
45 53
8 38
56 19
34 5
40 18
26 30
43 52
17 11
17 18
49 7
34 51
48 2
49 44
37 22
4 14
51 29
50 14
50 36
40 30
20 61
3 28
55 7
20 13
19 15
32 60
35 12
48 57
0 31
5 45
33 58
33 39
28 61
43 22
9 38

jin random 18
vfile
4
1 1
0 1
3 2
2 0

efile
3
0 1
2 3
0 3

jin random 19
vfile
76
68 0
1 1
35 0
60 0
57 0
43 1
46 0
74 1
65 2
31 1
64 2
52 1
41 1
29 0
17 0
22 2
2 2
26 2
16 2
7 1
66 0
75 1
61 0
50 0
13 1
54 1
11 0
48 2
36 2
3 2
37 0
25 1
56 2
34 2
9 2
62 1
6 0
38 0
39 0
71 0
8 2
23 1
0 0
45 2
63 2
27 1
59 0
47 0
58 0
28 1
73 1
72 1
14 2
15 2
55 2
69 2
70 1
49 0
19 2
24 2
51 2
32 1
21 1
42 1
20 0
12 1
30 0
40 0
18 1
10 1
33 1
67 2
53 0
5 0
4 1
44 2

efile
75
69 55
49 70
41 52
69 70
38 6
42 21
32 51
48 36
74 46
56 34
8 71
4 5
13 54
43 46
66 7
24 51
9 62
72 73
64 31
14 15
16 7
11 54
72 14
24 19
16 26
58 47
18 10
50 13
56 25
3 37
65 74
50 61
57 60
62 6
27 63
9 34
59 47
1 35
71 39
4 44
48 11
45 63
75 61
49 19
35 60
33 10
8 23
33 67
25 37
1 68
40 18
42 20
67 53
59 27
57 43
17 22
38 39
12 30
5 53
20 12
2 26
65 31
55 15
40 30
64 52
0 45
2 22
3 36
0 23
17 29
66 75
32 21
41 29
73 28
58 28

jin random 20
vfile
95
9 1
40 2
7 1
50 0
36 1
59 0
46 2
79 1
62 0
76 2
16 0
27 1
5 0
72 1
65 1
54 0
25 1
78 0
93 1
8 1
94 1
41 2
51 1
3 2
28 1
20 0
71 0
31 0
1 1
68 0
90 2
29 2
18 2
85 2
53 1
45 0
37 2
60 0
67 0
32 0
4 1
24 1
23 1
89 1
33 1
19 2
88 2
74 0
56 2
75 1
42 1
63 1
10 2
34 1
17 1
58 1
61 2
0 0
81 1
80 0
2 2
70 0
26 2
30 0
13 1
14 0
44 1
48 0
35 1
38 2
11 2
91 0
21 1
49 2
69 2
64 0
6 0
55 0
39 0
86 2
82 1
84 1
12 2
73 0
52 1
66 2
15 0
47 0
43 2
77 0
92 1
87 1
22 0
83 0
57 2

efile
94
72 5
22 87
92 87
57 83
25 78
48 35
33 19
42 75
17 58
2 70
20 71
58 61
73 12
59 46
42 63
45 53
1 68
82 84
3 51
46 79
3 28
25 54
60 37
18 29
66 52
31 71
86 39
18 85
53 85
64 6
28 20
91 21
66 15
0 61
39 55
73 52
11 38
80 81
40 7
41 51
24 23
67 60
10 34
35 38
88 19
43 77
47 15
49 21
37 45
44 14
1 31
56 75
32 4
40 9
26 70
82 86
43 47
56 74
49 69
91 11
6 55
90 68
0 81
90 29
26 30
13 14
83 22
59 36
48 44
92 77
8 93
50 36
16 27
72 65
80 2
8 94
62 79
84 12
64 69
16 76
65 54
13 30
10 63
32 67
24 4
88 74
50 7
41 94
93 78
89 33
89 23
27 5
76 62
17 34

jin random 21
vfile
9
3 2
0 1
6 1
4 1
5 0
8 1
7 2
1 1
2 0

efile
8
4 6
0 6
1 7
1 2
0 3
4 5
8 7
8 5

jin random 22
vfile
70
6 2
9 0
4 1
43 1
54 2
59 1
1 1
37 2
0 1
23 0
14 0
30 0
49 2
29 1
53 1
5 0
24 1
38 0
7 0
50 1
26 0
17 2
64 2
2 1
47 2
16 1
27 0
45 1
69 2
51 1
12 2
57 1
32 1
55 2
35 2
40 1
65 1
19 1
11 2
22 1
46 0
8 0
68 1
18 1
41 0
58 2
3 2
52 2
60 2
10 0
44 0
20 1
67 0
48 2
62 0
39 0
31 0
42 0
21 1
56 1
36 1
13 2
66 0
34 1
33 2
61 1
15 2
63 1
28 1
25 1

efile
69
24 38
11 19
42 21
43 54
56 36
25 28
62 39
66 34
48 62
14 23
42 31
17 26
0 37
9 4
57 12
43 4
16 47
51 69
9 6
69 45
64 17
49 30
8 68
40 35
50 26
56 21
50 7
24 5
1 59
40 65
64 2
65 19
27 45
49 29
1 37
31 39
32 57
46 22
18 68
66 13
33 61
32 55
61 15
41 58
28 63
10 44
48 67
11 22
33 34
41 18
38 7
5 53
51 12
3 52
2 47
16 27
52 60
63 15
0 23
14 30
59 54
8 46
36 13
10 60
53 29
35 55
44 20
67 20
58 3

jin random 23
vfile
94
3 1
61 0
10 1
74 2
75 2
60 1
73 0
33 1
28 0
62 0
15 0
22 2
90 0
30 1
72 0
4 1
12 2
88 0
37 0
8 1
47 0
66 0
13 2
77 0
9 1
1 0
64 2
19 1
54 0
29 1
23 2
21 2
81 0
50 0
87 1
79 2
89 2
92 2
65 0
17 2
70 1
76 2
52 1
14 0
41 0
42 2
84 1
36 0
20 2
56 1
83 0
31 2
2 0
91 2
46 0
59 2
63 0
71 2
35 2
38 0
82 2
57 2
11 0
55 2
68 0
80 2
18 2
48 2
0 1
7 0
58 2
16 0
53 0
86 1
44 1
24 1
45 1
67 2
85 2
78 0
40 0
69 0
39 1
25 0
6 0
93 1
34 0
26 1
32 1
5 2
27 2
51 0
49 2
43 0

efile
93
76 70
2 31
69 39
73 60
91 46
16 53
65 17
34 93
36 20
59 46
29 54
35 71
80 68
34 26
16 58
32 26
10 61
32 5
9 1
24 44
25 6
40 69
42 84
89 92
57 11
25 39
57 82
66 47
21 23
41 42
2 91
33 28
58 7
59 63
83 31
88 12
3 61
51 27
41 14
9 77
40 78
74 75
35 38
79 87
89 79
64 19
4 12
77 13
84 36
62 15
64 1
52 14
19 54
85 78
68 55
17 70
50 87
76 52
48 18
72 30
53 86
22 15
11 55
90 30
71 63
10 74
80 18
44 86
81 21
28 62
65 92
24 45
93 6
73 33
88 37
90 22
8 47
81 50
56 20
8 37
67 85
0 7
29 23
49 43
66 13
72 4
48 0
67 45
27 5
75 60
49 51
82 38
56 83

jin random 24
vfile
23
13 1
8 0
4 2
12 1
10 2
17 2
0 0
15 0
20 1
3 0
16 1
11 1
7 2
1 0
9 2
2 0
14 0
22 1
6 1
18 1
21 0
19 2
5 0

efile
22
17 10
0 17
9 2
1 7
16 11
14 22
18 6
19 21
10 12
2 14
8 13
11 7
3 20
1 9
22 6
18 21
4 12
19 5
0 15
20 15
16 3
8 4

jin random 25
vfile
88
76 1
66 0
38 1
35 0
77 2
49 0
11 2
57 2
39 1
0 1
30 0
63 1
59 0
52 1
14 1
7 1
24 1
60 2
48 2
81 2
26 2
13 1
25 0
5 2
42 0
87 1
28 2
43 0
3 1
20 0
85 0
22 2
19 1
27 0
68 1
23 2
21 1
58 0
32 0
67 0
37 1
34 1
72 2
64 0
44 1
62 2
33 1
71 2
8 2
82 1
69 0
46 1
1 2
29 1
80 0
75 0
51 1
40 2
54 2
9 1
84 2
53 2
86 1
12 2
45 1
74 2
55 1
6 0
36 0
15 2
31 0
18 0
79 0
17 0
10 1
83 2
70 2
2 0
78 1
65 2
61 1
47 0
41 0
16 2
50 0
73 0
4 2
56 1

efile
87
27 19
16 50
8 71
26 13
14 7
67 37
42 87
65 61
48 81
64 44
2 70
80 29
28 87
69 46
27 68
30 63
72 34
66 76
35 77
57 11
24 7
25 13
21 23
33 71
82 69
59 63
56 4
66 38
12 86
48 60
31 15
83 70
18 79
35 38
17 79
34 37
73 50
59 52
72 64
32 58
74 45
0 39
52 14
85 22
10 83
49 77
74 55
24 60
58 21
8 82
53 86
9 84
6 55
9 54
33 62
61 47
16 41
84 53
1 29
36 6
49 11
12 45
40 54
17 10
32 67
73 4
44 62
40 51
41 47
36 15
20 85
3 43
42 5
68 23
80 75
0 30
81 26
43 28
25 5
65 78
1 46
3 20
57 39
2 78
51 75
19 22
18 31

jin random 26
vfile
36
23 1
22 2
0 0
5 1
15 1
29 1
9 0
14 0
16 1
26 1
6 2
25 0
3 0
24 1
7 0
34 0
35 0
2 0
33 0
30 1
18 1
20 2
1 2
27 1
31 0
10 2
28 1
13 2
8 2
32 1
12 1
11 1
17 1
19 2
21 2
4 2

efile
35
9 29
11 12
10 28
24 7
0 22
0 5
16 26
1 27
26 6
8 32
22 23
9 14
18 20
33 30
1 20
16 14
32 12
28 13
27 31
4 21
5 15
19 21
17 11
2 35
24 3
8 13
29 15
17 19
25 6
25 3
34 7
10 31
33 2
34 35
18 30

jin random 27
vfile
13
4 2
10 0
1 2
11 2
3 0
6 0
9 0
8 1
2 1
12 2
7 0
0 0
5 0

efile
12
10 4
8 2
9 6
12 7
1 11
8 9
3 6
2 12
0 5
0 7
3 11
1 10

jin random 28
vfile
21
3 2
10 0
11 0
20 0
13 0
0 2
19 2
9 1
6 1
4 1
5 2
18 0
14 1
7 1
8 0
17 1
2 1
16 1
15 1
1 2
12 2

efile
20
4 6
1 15
4 5
8 7
14 7
10 11
0 13
18 14
9 6
16 2
0 19
17 2
16 15
1 12
18 5
8 17
20 13
10 3
11 20
9 19

jin random 29
vfile
80
28 2
10 0
66 1
0 2
73 0
46 2
19 1
36 1
74 1
7 2
77 1
33 2
71 1
44 0
22 0
23 0
38 1
6 0
2 0
40 0
20 2
26 2
21 1
53 2
16 2
13 2
68 2
31 2
45 2
9 2
57 1
5 0
63 1
78 1
32 1
61 1
56 1
69 1
55 2
42 1
79 2
62 0
64 0
48 0
76 0
49 2
60 2
59 2
65 1
17 0
14 0
34 1
15 0
72 0
30 0
18 0
75 0
50 0
29 2
67 1
25 2
24 1
51 0
11 0
35 0
41 0
3 2
43 2
1 2
8 2
27 1
54 2
39 1
37 1
4 1
70 1
58 0
12 2
47 2
52 2

efile
79
38 6
10 28
40 20
16 53
65 17
50 29
22 23
48 76
58 12
16 13
44 71
52 47
11 51
49 60
1 43
34 14
37 39
34 15
0 66
57 5
9 45
35 11
0 73
26 21
69 55
56 61
77 7
64 62
41 35
33 71
50 75
42 79
10 66
19 36
24 25
17 14
18 75
64 48
74 36
32 61
32 78
78 63
53 21
9 57
56 69
2 6
24 51
59 60
33 77
72 30
68 13
40 2
72 15
65 59
58 70
12 47
27 54
73 46
26 20
54 39
62 79
8 27
38 23
42 55
5 63
68 31
67 29
4 70
43 3
8 1
49 76
25 67
45 31
44 22
4 37
74 7
19 46
41 3
18 30

jin random 30
vfile
11
7 1
0 2
1 0
2 0
3 1
9 0
10 2
8 2
4 1
5 0
6 2

efile
10
2 3
9 3
1 2
9 10
4 5
0 1
8 10
5 6
0 7
8 4

jin random 31
vfile
56
27 2
18 1
12 1
4 2
50 2
1 0
26 2
3 0
34 0
42 2
23 0
36 1
16 1
25 0
48 0
52 1
45 0
33 1
31 0
29 2
49 1
19 0
7 2
39 0
11 2
43 1
53 1
40 1
21 0
46 2
9 2
15 0
55 2
17 0
47 2
41 0
44 1
24 1
54 2
22 1
13 0
37 1
35 2
30 1
6 1
14 2
5 1
38 2
2 1
10 1
28 1
51 0
0 1
8 0
20 0
32 1

efile
55
33 31
43 11
24 54
37 13
10 28
33 45
43 53
8 20
29 31
50 4
17 47
18 27
41 47
21 46
41 44
34 3
34 42
36 23
9 46
51 28
40 21
32 20
35 30
11 39
9 15
49 19
19 7
17 55
26 3
42 23
49 29
1 50
2 38
6 14
18 12
54 22
16 25
0 8
1 26
55 15
13 22
35 37
2 10
5 14
24 44
12 4
48 25
30 6
52 45
5 38
16 36
39 7
48 52
0 51
40 53

jin random 32
vfile
11
4 1
8 2
7 2
2 2
3 0
1 2
10 0
9 2
0 2
5 2
6 1

efile
10
2 3
9 10
2 7
8 7
0 5
5 6
1 10
1 3
8 4
0 9

jin random 33
vfile
89
57 0
52 1
77 1
11 0
42 2
72 2
35 1
82 2
61 2
38 2
24 1
4 0
86 2
25 1
78 1
44 0
21 1
64 2
65 1
28 0
30 2
48 0
8 0
19 0
18 1
26 1
41 1
9 2
67 0
45 2
58 2
66 2
84 0
71 0
33 2
20 0
85 2
14 2
23 1
51 2
6 1
16 0
34 0
40 0
13 0
5 1
39 0
37 2
15 1
3 1
81 2
68 0
0 2
1 1
60 2
73 2
27 1
87 2
46 0
63 0
32 2
80 0
75 0
50 1
83 1
29 0
79 2
22 2
36 0
62 2
7 2
10 0
17 2
12 1
54 0
88 2
31 0
74 0
49 0
70 0
53 0
59 1
56 0
2 2
69 2
76 1
47 2
55 2
43 2

efile
88
5 39
2 69
5 13
85 14
73 60
25 78
0 68
81 3
16 34
64 65
76 47
51 23
41 9
81 68
36 62
37 39
50 83
18 26
11 77
56 59
48 30
46 87
12 54
73 27
33 71
9 67
50 75
44 21
56 2
33 20
46 63
49 74
58 45
37 15
58 66
82 35
83 29
4 86
51 6
1 60
49 70
72 42
44 78
72 35
55 47
61 38
14 23
41 26
28 30
48 8
66 84
